target, prime, surprise,primetype,relationtype
БЕЖАТЬ, бежал, 139.7279,related,inflection
БЕЖАТЬ, мальчик, 152.1419,a_unrelated,inflection
БРОСИТЬ, бросил, 156.0452,related,inflection
БРОСИТЬ, никакой, 151.0968,a_unrelated,inflection
ВЕРИТЬ, поверить, 159.7498,related,derivation
ВЕРИТЬ, самый, 164.1617,a_unrelated,derivation
ВСТРЕЧАТЬ, встречал, 109.6985,related,inflection
ВСТРЕЧАТЬ, крупный, 136.7074,a_unrelated,inflection
ВЫБРАТЬ, выбрал, 143.4145,related,inflection
ВЫБРАТЬ, назад, 146.0451,a_unrelated,inflection
ГОВОРИТЬ, все-таки, 134.0031,a_unrelated,derivation
ГОВОРИТЬ, поговорить, 141.2491,related,derivation
ДЕРЖАТЬ, подержать, 133.5329,related,derivation
ДЕРЖАТЬ, работа, 157.7887,a_unrelated,derivation
ДУМАТЬ, мысль, 167.2929,a_unrelated,derivation
ДУМАТЬ, подумать, 149.6062,related,derivation
ЖЕЛАТЬ, пожелать, 119.6074,related,derivation
ЖЕЛАТЬ, принцип, 168.0079,a_unrelated,derivation
ЗАБЫТЬ, забыл, 152.1673,related,inflection
ЗАБЫТЬ, структура, 165.3170,a_unrelated,inflection
ИГРАТЬ, великий, 168.5400,a_unrelated,derivation
ИГРАТЬ, поиграть, 162.3116,related,derivation
ИСКАТЬ, мужчина, 157.6588,a_unrelated,derivation
ИСКАТЬ, поискать, 146.9487,related,derivation
КРИЧАТЬ, кричал, 141.2435,related,inflection
КРИЧАТЬ, простой, 165.6801,a_unrelated,inflection
КУРИТЬ, взгляд, 165.2780,a_unrelated,derivation
КУРИТЬ, покурить, 164.3717,related,derivation
ЛЕЖАТЬ, полежать, 130.6950,related,derivation
ЛЕЖАТЬ, простой, 180.6647,a_unrelated,derivation
НАЧАТЬ, всякий, 170.5712,a_unrelated,inflection
НАЧАТЬ, начал, 136.0975,related,inflection
ОЖИДАТЬ, внимание, 152.9007,a_unrelated,inflection
ОЖИДАТЬ, ожидал, 138.0157,related,inflection
ПИСАТЬ, писал, 163.3674,related,inflection
ПИСАТЬ, черный, 164.5813,a_unrelated,inflection
ПЛАКАТЬ, женщина, 142.2334,a_unrelated,inflection
ПЛАКАТЬ, плакал, 138.8557,related,inflection
ПОМНИТЬ, власть, 158.8977,a_unrelated,inflection
ПОМНИТЬ, помнил, 150.1490,related,inflection
ПОНЯТЬ, понял, 163.5119,related,inflection
ПОНЯТЬ, хорошо, 174.0163,a_unrelated,inflection
ПРОСИТЬ, близкий, 152.4176,a_unrelated,derivation
ПРОСИТЬ, попросить, 156.3406,related,derivation
РЕШИТЬ, далекий, 163.7885,a_unrelated,inflection
РЕШИТЬ, решил, 164.8913,related,inflection
СИДЕТЬ, первый, 170.3448,a_unrelated,derivation
СИДЕТЬ, посидеть, 153.2991,related,derivation
СЛУШАТЬ, готовый, 160.6704,a_unrelated,derivation
СЛУШАТЬ, послушать, 129.5957,related,derivation
СЛЫШАТЬ, история, 155.0043,a_unrelated,inflection
СЛЫШАТЬ, слышал, 133.3468,related,inflection
СМОТРЕТЬ, впрочем, 142.0408,a_unrelated,derivation
СМОТРЕТЬ, посмотреть, 127.4068,related,derivation
СНИМАТЬ, развитие, 146.5484,a_unrelated,inflection
СНИМАТЬ, снимал, 132.1029,related,inflection
СОБРАТЬ, сильный, 155.8745,a_unrelated,inflection
СОБРАТЬ, собрал, 146.3747,related,inflection
СООБЩИТЬ, важный, 133.6910,a_unrelated,inflection
СООБЩИТЬ, сообщил, 123.1187,related,inflection
СТАВИТЬ, очередь, 154.7476,a_unrelated,derivation
СТАВИТЬ, поставить, 131.4149,related,derivation
СТОЯТЬ, палец, 164.6864,a_unrelated,derivation
СТОЯТЬ, постоять, 167.3321,related,derivation
СТРАДАТЬ, машина, 139.7176,a_unrelated,derivation
СТРАДАТЬ, пострадать, 122.5130,related,derivation
СТРОИТЬ, область, 148.0689,a_unrelated,derivation
СТРОИТЬ, построить, 153.4905,related,derivation
СЧИТАТЬ, вторник, 159.8573,a_unrelated,derivation
СЧИТАТЬ, посчитать, 126.6113,related,derivation
ТЕРЯТЬ, метод, 167.3025,a_unrelated,derivation
ТЕРЯТЬ, потерять, 159.2522,related,derivation
ТРАТИТЬ, задание, 148.4076,a_unrelated,inflection
ТРАТИТЬ, потратить, 136.8847,related,inflection
УБИТЬ, убил, 183.2840,related,inflection
УБИТЬ, часто, 187.7898,a_unrelated,inflection
УЗНАТЬ, тысяча, 155.7797,a_unrelated,inflection
УЗНАТЬ, узнал, 145.5956,related,inflection
УМЕТЬ, умел, 168.7038,related,inflection
УМЕТЬ, характер, 169.0424,a_unrelated,inflection
