prime,target
ТАЩИТЬ,ТАСКАТЬ
зотеть,ЗОТЕТЬ
малыш,РОДИТЬ
мначь,МНАЧЬ
конфликт,СПОРИТЬ
рэбить,РЭБИТЬ
рагеть,РАГЕТЬ
дорогой,ЦЕНИТЬ
бореть,БОРЕТЬ
оказать,ОКАЗАТЬ
штука,РЕШАТЬ
обарать,ОБАРАТЬ
власть,КЛАСТЬ
цорать,ЦОРАТЬ
удивить,ВИСЕТЬ
хнуть,ХНУТЬ
начать,КАЧАТЬ
прововать,ВАВАТЬ
пострадать,СТРАДАТЬ
аренда,ЛЕТЕТЬ
словарь,ЦЕЛОВАТЬ
ареть,АРЕТЬ
полезть,ЛЕЗТЬ
посмотреть,СМОТРЕТЬ
венять,ВЕНЯТЬ
издание,ГИБНУТЬ
димать,МИЗАТЬ
поехать,ЕХАТЬ
ромать,РОМАТЬ
поработать,РАБОТАТЬ
личать,ЛИЧАТЬ
полюбить,ЛЮБИТЬ
лешать,ЛЕШАТЬ
постоять,СТОЯТЬ
ращать,РАЩАТЬ
полежать,ЛЕЖАТЬ
бють,БЮТЬ
ящить,ЯЩИТЬ
поиграть,ИГРАТЬ
дужать,ДУЖАТЬ
поставить,СТАВИТЬ
жучь,ЖУТЬ
послушать,СЛУШАТЬ
рокать,РОКАТЬ
нунять,НУНЯТЬ
поспать,СПАТЬ
далеть,ДАЛЕТЬ
побывать,БЫВАТЬ
ботреть,БОТРЕТЬ
попросить,ПРОСИТЬ
мувать,МУВАТЬ
поискать,ИСКАТЬ
счастье,РАДОВАТЬ
техеть,ТЕХЕТЬ
походить,ХОДИТЬ
готовый,МИМЕНИТЬ
никогда,БОЯТЬСЯ
московский,ПЕРОЖИТЬ
пожелать,ЖЕЛАТЬ
пускать,ОСТИТЬ
желание,ЗНАКОМИТЬСЯ
вкатять,МАТЯТЬ
помешать,МЕШАТЬ
лишать,ЛАШИТЬ
потянуть,ТЯНУТЬ
заключать,ЗАЧИТЬ
весна,ВЕСТИ
поделиться,ДЕЛИТЬСЯ
бачь,БАЧЬ
теперь,ТЕРПЕТЬ
рекомендация,СОВЕТОВАТЬ
понести,НЕСТИ
конять,КОНЯТЬ
потерять,ТЕРЯТЬ
лачить,ЛАЧИТЬ
состояние,ПАДАТЬ
присашать,ШАШАТЬ
повернуть,ВЕРНУТЬ
обеда,ОБЕЩАТЬ
девить,ДЕВИТЬ
потратить,ТРАТИТЬ
директор,СЛЕДОВАТЬ
сюшать,СЮШАТЬ
связист,СВЯТИТЬ
другой,ДУМАТЬ
статья,СТАТЬ
енять,ЕНЯТЬ
мышь,МЫТЬ
чтобы,ДАВАТЬ
все-таки,ГОВОРИТЬ
генать,ГЕНАТЬ
первый,СИДЕТЬ
шурать,ШУРАТЬ
только,ЧИТАТЬ
асять,АСЯТЬ
даже,ЗВАТЬ
гирать,ГИРАТЬ
дело,ПИТЬ
голять,ГОЛЯТЬ
работа,ДЕРЖАТЬ
чикать,ЧИКАТЬ
например,ЯВЛЯТЬСЯ
шорать,ШОРАТЬ
возможность,ЧУВСТВОВАТЬ
бишать,БИШАТЬ
настоящий,ПЫТАТЬСЯ
ганять,ГАНЯТЬ
самый,ВЕРИТЬ
кинлить,КИНЛИТЬ
большой,ЗВОНИТЬ
отвасять,ВУСЯТЬ
ребенок,ТРЕБОВАТЬ
шадать,ШАДАТЬ
именно,КУПИТЬ
барать,БАРАТЬ
несколько,НРАВИТЬСЯ
пузать,ПУЗАТЬ
города,МЕНЯТЬ
олять,ОЛЯТЬ
женщина,СТАРАТЬСЯ
викать,ВИКАТЬ
деньги,ГЛЯДЕТЬ
область,СТРОИТЬ
обраривать,ОБАРИВАТЬ
молодой,МОЛЧАТЬ
собрал,СОБРАТЬ
ниветь,НИВЕТЬ
плакал,ПЛАКАТЬ
митять,МИТЯТЬ
хватил,ХВАТИТЬ
галереть,ГАЛЕРЕТЬ
выбрал,ВЫБРАТЬ
станять,ЦАНЯТЬ
встречал,ВСТРЕЧАТЬ
занял,ЗАНЯТЬ
выпил,ВЫПИТЬ
риветь,РИВЕТЬ
значил,ЗНАЧИТЬ
случай,СЛУЖИТЬ
рыгивать,РЫГИВАТЬ
отдал,ОТДАТЬ
копачать,КОПАЧАТЬ
сообщил,СООБЩИТЬ
извинять,ДИНИТЬ
кричал,КРИЧАТЬ
араливать,АРАЛИВАТЬ
вызвал,ВЫЗВАТЬ
цареть,ЦАРЕТЬ
заявил,ЗАЯВИТЬ
цорать,ЦОРАТЬ
входил,ВХОДИТЬ
обарать,ОБАРАТЬ
забыл,ЗАБЫТЬ
цигачить,ЦИГАЧИТЬ
умел,УМЕТЬ
бурличать,БУРЛИЧАТЬ
питание,КОРМИТЬ
убил,УБИТЬ
имен ,ИМЕТЬ
яреть,ЯРЕТЬ
бежал,БЕЖАТЬ
покурить,КУРИТЬ
трировать,ТРИРОВАТЬ
никакой,БРОСИТЬ
дидарить,ДИДАРИТЬ
всегда,НОСИТЬ
чобить,ЧОБИТЬ
хорошо,ПОНЯТЬ
ягать,ЯГАТЬ
всякий,НАЧАТЬ
грыгать,ГРЫГАТЬ
черный,ПИСАТЬ
бидать,БИДАТЬ
действие,РЕРАТИТЬ
далекий,РЕШИТЬ
людеть,ЛЮДЕТЬ
ловушка,ПОЙМАТЬ
лилять,ЛИЛЯТЬ
процесс,ПОДНЯТЬ
шурать,ШУРАТЬ
радиация,ИЗЛУЧАТЬ
рикать,РИКАТЬ
развитие,СНИМАТЬ
отвечать,ВЕТИТЬ
сакать,САКАТЬ
история,СЛЫШАТЬ
берать,БЕРАТЬ
корм,ПИТАТЬ
лучший,СВЯЗАТЬ
гимать,ГИМАТЬ
власть,ПОМНИТЬ
отмечать,МАТИТЬ
идать,ИДАТЬ
поэтому,ПОПАСТЬ
приглашать,ПРИСИТЬ
люсять,ЛЮСЯТЬ
вообще,СОЗДАТЬ
сенять,СЕНЯТЬ
нож,РЕЗАТЬ
тысяча,УЗНАТЬ
викать,ВИКАТЬ
больше,НАЗВАТЬ
товарищ,ДРУЖИТЬСЯ
женять,ЖЕНЯТЬ
поступать,СТУРИТЬ
квартира,ПЕРЕДАТЬ
генать,ГЕНАТЬ
нападение,РЕКОМЕНДОВАТЬ
асять,АСЯТЬ
конец,СОВЕРШАТЬ
внимание,ОЖИДАТЬ
верать,ВЕРАТЬ
посчитать,СЧИТАТЬ
включать,ЛЮЧИТЬ
великий,ПРИНЯТЬ
выражение,ИНТЕРЕСОВАТЬ
шурить,ШУРИТЬ
