imp,perf,eng
"бегать, бежать",побежать,"to run, hurry"
"бегать, бежать",побежать,"to run, hurry"
бить,побить,"to beat, hit"
болеть,заболеть,to be ill; be a fan of
бороться,побороться,"to struggle, fight"
бояться,забояться,"to be afraid, fear"
брать,взять,to take; rent
браться,взяться,"to set about, undertake"
бросать,бросить,to throw
бросаться,броситься,"to throw oneself, rush"
валить,свалить,"to fell, dump"
валять,свалять,"to roll, shape"
варить,сварить,"to boil, cook"
"возить, везти",повезти,"to drive, carry by vehicle"
велеть,повелеть,to order (someone)
верить,поверить,to believe
возвращать,вернуть,"to return, give back"
возвращаться,вернуться,to return (yourself)
"водить, вести",повести,to lead (walking)
волноваться,взволноваться,"to worry, get upset"
взглянуть,взглядывать,"to look, glance"
взглянуть,взглядывать,"to look, glance"
вздыхать,вздохнуть,"to take breath, to sigh"
брать,взять,to take; rent
браться,взяться,"to set about, undertake"
вздыхать,вздохнуть,"to take breath, to sigh"
видеть,увидеть,to see
висеть,повисеть,to hang
включать,включить,to include; to switch on
включать,включить,to include; to switch on
"водить, вести",повести,to lead (walking)
воевать,повоевать,to fight (in war)
возвращаться,возвратиться,to return
возвращать,вернуть,"to return, give back"
возвращаться,возвратиться,to return (oneself)
"возить, везти",повезти,"to drive, carry by vehicle"
"возить, везти",повезти,"to drive, carry by vehicle"
возникать,возникнуть,"to emerge, appear"
возникать,возникнуть,"to emerge, appear"
возражать,возразить,"to object, disagree"
возражать,возразить,"to object, disagree"
входить,войти,"to enter, come in"
волноваться,взволноваться,"to worry, get upset"
восклицать,воскликнуть,"to exclaim, cry"
восклицать,воскликнуть,"to exclaim, cry"
врать,соврать,"to lie, tell lies"
вскакивать,вскочить,"to jump, jump up"
вскакивать,вскочить,"to jump, jump up"
вспоминать,вспомнить,"to remember, recall"
вспоминать,вспомнить,"to remember, recall"
вставать,встать,"to get up, rise, stand up"
вставать,встать,"to get up, rise, stand up"
встречать,встретить,to meet
встречаться,встретиться,"to meet, be found, occur"
встречать,встретить,to meet
встречаться,встретиться,"to meet, be found, occur"
входить,войти,"to enter, come in"
выбирать,выбрать,"to choose, select"
выбирать,выбрать,"to choose, select"
выводить,вывести,"to take out, lead out"
выводить,вывести,"to take out, lead out"
